,FSCS,Location,Library Class,Total Population Served,City,County,Cooperative,Non-Resident Fee,NR Fee Annual or One Time,Fee schedule or non-resident rate (Example: $35/family;$25/individual),Full Library Service for Contracted Municipalities
181,MI0290,Lois Wagner Memorial Library,"Class 3: Serve 7,000-11,999",11581.0,Richmond,Macomb,Suburban Library Cooperative,Yes,Annual,$75/individual,
182,MI0212,Manchester District Library,"Class 3: Serve 7,000-11,999",7312.0,Manchester,Washtenaw,The Library Network,Yes,Annual,125/family,
183,MI0214,Manistique School & Public Library,"Class 3: Serve 7,000-11,999",8344.0,Manistique,Schoolcraft,Superiorland Library Cooperative,No,,,Yes
184,MI9018,Melvindale Public Library,"Class 3: Serve 7,000-11,999",10715.0,Melvindale,Wayne,The Library Network,No,,,
185,MI0230,Millington Arbela District Library,"Class 3: Serve 7,000-11,999",7424.0,Millington,Tuscola,White Pine Library Cooperative,No,,,
186,MI0234,Montmorency County Public Libraries,"Class 3: Serve 7,000-11,999",9765.0,Atlanta,Montmorency,Northland Library Cooperative,No,,,
187,MI0239,Munising School Public Library,"Class 3: Serve 7,000-11,999",9623.0,Munising,Alger,Superiorland Library Cooperative,Yes,Annual,$25/Individual,Yes
188,MI0241,Negaunee Public Library,"Class 3: Serve 7,000-11,999",7656.0,Negaunee,Marquette,Superiorland Library Cooperative,Yes,OneTime,$80/family; $50/individual,Yes
189,MI0379,Northfield Township Area Library,"Class 3: Serve 7,000-11,999",8354.0,Whitmore Lake,Washtenaw,The Library Network,No,,,Yes
190,MI0257,Oscoda County Library,"Class 3: Serve 7,000-11,999",8640.0,Mio,Oscoda,Northland Library Cooperative,No,,,
191,MI0263,Parchment Community Library,"Class 3: Serve 7,000-11,999",9969.0,Parchment,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,$95/family,
192,MI9012,Patmos Library,"Class 3: Serve 7,000-11,999",7034.0,Jamestown,Ottawa,Lakeland Library Cooperative,Yes,Annual,$25/Individual,
193,MI0122,Pere Marquette District Library,"Class 3: Serve 7,000-11,999",8833.0,Clare,Clare,Mideastern Michigan Library Cooperative,Yes,Annual,$100/family,No
194,MI0271,Pinckney Community Public Library,"Class 3: Serve 7,000-11,999",11503.0,Pinckney,Livingston,The Library Network,No,,,
195,MI0282,Rawson Memorial Library,"Class 3: Serve 7,000-11,999",8891.0,Cass City,Tuscola,White Pine Library Cooperative,No,,,Yes
196,MI0284,Reed City Area District Library,"Class 3: Serve 7,000-11,999",8543.0,Reed City,Osceola,Mid-Michigan Library League,Yes,Annual,45.00,Yes
197,MI0288,Richland Community Library,"Class 3: Serve 7,000-11,999",7580.0,Richland,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,$75/Family,No
198,MI9019,River Rouge Public Library,"Class 3: Serve 7,000-11,999",7903.0,River Rouge,Wayne,The Library Network,No,,,
199,MI0165,Ruth Hughes Memorial District Library,"Class 3: Serve 7,000-11,999",11480.0,Imlay City,Lapeer,Mideastern Michigan Library Cooperative,Yes,Annual,40/individual,
200,MI0320,Saint Charles District Library,"Class 3: Serve 7,000-11,999",7798.0,Saint Charles,Saginaw,White Pine Library Cooperative,Yes,Annual,$75/individual,
201,MI0423,Salem Township Library,"Class 3: Serve 7,000-11,999",7357.0,Burnips,Allegan,Lakeland Library Cooperative,Yes,Annual,$25,Yes
202,MI0301,Sandusky District Library,"Class 3: Serve 7,000-11,999",7103.0,Sandusky,Sanilac,White Pine Library Cooperative,Yes,OneTime,25,Yes
203,MI0303,Saranac Public Library,"Class 3: Serve 7,000-11,999",10188.0,Saranac,Ionia,Lakeland Library Cooperative,No,,,
204,MI0428,Schultz-Holmes Memorial Library,"Class 3: Serve 7,000-11,999",7272.0,"Blissfield, MI",Lenawee,Woodlands Library Cooperative,Yes,Annual,50,Yes
205,MI0309,Shelby Area District Library,"Class 3: Serve 7,000-11,999",11377.0,Shelby,Oceana,Mid-Michigan Library League,Yes,Annual,"$35/individual, $50/family",Yes
206,MI0314,South Haven Memorial Library,"Class 3: Serve 7,000-11,999",8386.0,South Haven,Van Buren,Southwest Michigan Library Cooperative,Yes,Annual,$58/Individual;$29/Senior,
207,MI0317,Sparta Carnegie Township Library,"Class 3: Serve 7,000-11,999",9110.0,Sparta,Kent,Lakeland Library Cooperative,Yes,Annual,20.00,
208,MI0318,Spies Public Library,"Class 3: Serve 7,000-11,999",9645.0,Menominee,Menominee,Superiorland Library Cooperative,Yes,Annual,$15/Student;$25/Individual;$40/Family,Yes
209,MI0328,Surrey Township Public Library,"Class 3: Serve 7,000-11,999",9301.0,Farwell,Clare,Mid-Michigan Library League,Yes,Annual,$35/individual; $50/family,Yes
210,MI0330,Tahquamenon Area Public Library,"Class 3: Serve 7,000-11,999",7851.0,Newberry,Luce,Northland Library Cooperative,Yes,Annual,$10/Individual;$25/Family,
211,MI0331,Tamarack District Library,"Class 3: Serve 7,000-11,999",10250.0,Lakeview,Montcalm,Lakeland Library Cooperative,Yes,Annual,36/individual,Yes
212,MI0335,Theodore A. Cutler Memorial Library,"Class 3: Serve 7,000-11,999",10662.0,Saint Louis,Gratiot,White Pine Library Cooperative,No,,,Yes
213,MI0336,Thomas Township Library,"Class 3: Serve 7,000-11,999",11985.0,Saginaw,Saginaw,White Pine Library Cooperative,No,,,
214,MI0337,Thompson Home Public Library,"Class 3: Serve 7,000-11,999",8147.0,ITHACA,Gratiot,White Pine Library Cooperative,Yes,Annual,$50/family,Yes
215,MI0286,Timothy C. Hauenstein Reynolds Township Library,"Class 3: Serve 7,000-11,999",9714.0,Howard City,Montcalm,Lakeland Library Cooperative,Yes,Annual,$35/family,Yes
216,MI0354,Walton Erickson Public Library,"Class 3: Serve 7,000-11,999",9514.0,Morley,Mecosta,Mid-Michigan Library League,No,,,
217,MI0363,West Branch District Library,"Class 3: Serve 7,000-11,999",9138.0,West Branch,Ogemaw,White Pine Library Cooperative,Yes,Annual,25,
218,MI0364,West Iron District Library,"Class 3: Serve 7,000-11,999",7370.0,Iron River,Iron,Superiorland Library Cooperative,Yes,Annual,40,
219,MI0091,White Cloud Community Library,"Class 3: Serve 7,000-11,999",8533.0,White Cloud,Newaygo,Lakeland Library Cooperative,Yes,Annual,$50 yearly/ $5 monthly,Yes
220,MI0370,White Lake Community Library,"Class 3: Serve 7,000-11,999",11811.0,Whitehall,Muskegon,Lakeland Library Cooperative,Yes,Annual,$42/individual,
221,MI0368,White Pine District Library,"Class 3: Serve 7,000-11,999",10014.0,Stanton,Montcalm,Mid-Michigan Library League,No,,,
222,MI0406,Adrian District Library,"Class 4: Serve 12,000-25,999",21133.0,Adrian,Lenawee,Woodlands Library Cooperative,Yes,Annual,$90/family;$45 seasonal,
223,MI0410,Allegan District Library,"Class 4: Serve 12,000-25,999",17401.0,Allegan,Allegan,Southwest Michigan Library Cooperative,Yes,Annual,20/individual,Yes
224,MI0015,Auburn Hills Public Library,"Class 4: Serve 12,000-25,999",21412.0,Auburn Hills,Oakland,The Library Network,No,,,
225,MI0017,Bacon Memorial District Library,"Class 4: Serve 12,000-25,999",25883.0,Wyandotte,Wayne,The Library Network,Yes,Annual,$100/Family,
226,MI0027,Benton Harbor Public Library,"Class 4: Serve 12,000-25,999",24787.0,Benton Harbor,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,50/individual,Yes
227,MI0030,Berkley Public Library,"Class 4: Serve 12,000-25,999",14970.0,Berkley,Oakland,The Library Network,Yes,Annual,125,
228,MI0035,Big Rapids Community Library,"Class 4: Serve 12,000-25,999",20025.0,Big Rapids,Mecosta,Mid-Michigan Library League,Yes,Annual," $25 individual, $50 household, $120 individual plus MeL",Yes
229,MI0040,Brandon Township Public Library,"Class 4: Serve 12,000-25,999",15175.0,Ortonville,Oakland,The Library Network,Yes,Annual,$100/individual; $6/student,
230,MI0041,Bridgeport Public Library,"Class 4: Serve 12,000-25,999",12667.0,Saginaw,Saginaw,White Pine Library Cooperative,Yes,Annual,75.00,Yes
231,MI0026,Briggs District Library,"Class 4: Serve 12,000-25,999",19336.0,Saint Johns,Clinton,White Pine Library Cooperative,Yes,Annual,$50 a household,Yes
232,MI0059,Charles A. Ransom District Library,"Class 4: Serve 12,000-25,999",15068.0,Plainwell,Allegan,Southwest Michigan Library Cooperative,Yes,Annual,$50/individual or family,
233,MI0061,Charlotte Community Library,"Class 4: Serve 12,000-25,999",24370.0,Charlotte,Eaton,Woodlands Library Cooperative,Yes,Annual, $80/family,Yes
234,MI0063,Cheboygan Area Public Library,"Class 4: Serve 12,000-25,999",13894.0,Cheboygan,Cheboygan,Northland Library Cooperative,Yes,Annual,$50/ household/year,
235,MI0223,Chelsea District Library,"Class 4: Serve 12,000-25,999",15010.0,Chelsea,Washtenaw,The Library Network,Yes,Annual,125,
236,MI0067,Coloma Public Library,"Class 4: Serve 12,000-25,999",12982.0,Coloma,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,$50 individual;$75 family,Yes
237,MI0070,Comstock Township Library,"Class 4: Serve 12,000-25,999",14854.0,Comstock,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,$35/family,
238,MI0074,Crawford County Library,"Class 4: Serve 12,000-25,999",14074.0,Grayling,Crawford,Superiorland Library Cooperative,Yes,Annual,10.00/Individual,
239,MI0106,DeWitt District Library,"Class 4: Serve 12,000-25,999",20542.0,DeWitt,Clinton,Woodlands Library Cooperative,Yes,Annual,30/Individual $40/Family,
240,MI0084,Dexter District Library,"Class 4: Serve 12,000-25,999",19591.0,Dexter,Washtenaw,The Library Network,Yes,Annual,60/household,
241,MI0087,Dowagiac District Library,"Class 4: Serve 12,000-25,999",13306.0,Dowagiac,Cass,Southwest Michigan Library Cooperative,Yes,OneTime,$5/individual,Yes
242,MI0094,Eaton Rapids Area District Library,"Class 4: Serve 12,000-25,999",12670.0,Eaton Rapids,Eaton,Woodlands Library Cooperative,Yes,Annual,"$45/family; $25/individual; $5/90-day, one per calendar year",
243,MI0101,Escanaba Public Library,"Class 4: Serve 12,000-25,999",25830.0,Escanaba,Delta,Superiorland Library Cooperative,Yes,Annual,$35/Family,Yes
244,MI0107,Fennville District Library,"Class 4: Serve 12,000-25,999",14230.0,Fennville,Allegan,Lakeland Library Cooperative,Yes,Annual,$20.00/Family,Yes
245,MI0108,Ferndale Area District Library,"Class 4: Serve 12,000-25,999",19900.0,Ferndale,Oakland,The Library Network,Yes,Annual,$100/family,
246,MI0133,Flat River Community Library,"Class 4: Serve 12,000-25,999",17626.0,Greenville,Montcalm,Lakeland Library Cooperative,Yes,Annual,$25/year,
247,MI0421,Flat Rock Public Library,"Class 4: Serve 12,000-25,999",17823.0,Flat Rock,Wayne,The Library Network,Yes,Annual,65.00,Yes
248,MI0113,Fowlerville District Library,"Class 4: Serve 12,000-25,999",17068.0,Fowlerville,Livingston,The Library Network,Yes,Annual,$50/Family,Yes
249,MI0116,Fraser Public Library,"Class 4: Serve 12,000-25,999",14480.0,Fraser,Macomb,Suburban Library Cooperative,Yes,Annual,200,Yes
250,MI0118,Fremont Area District Library,"Class 4: Serve 12,000-25,999",13326.0,Fremont,Newaygo,Lakeland Library Cooperative,Yes,Annual,$48/Individual,
251,MI9022,Fruitport District Library,"Class 4: Serve 12,000-25,999",13598.0,Fruitport,Muskegon,Lakeland Library Cooperative,Yes,OneTime,$75/individual,
252,MI0127,Gladwin County District Library,"Class 4: Serve 12,000-25,999",25692.0,Gladwin,Gladwin,White Pine Library Cooperative,Yes,Annual,$50/person,
253,MI0130,Grand Ledge Area District Library,"Class 4: Serve 12,000-25,999",15959.0,Grand Ledge,Eaton,Woodlands Library Cooperative,No,,,
254,MI0137,Hamburg Township Library,"Class 4: Serve 12,000-25,999",21165.0,Hamburg,Livingston,The Library Network,No,,,
255,MI0138,Hamtramck Public Library,"Class 4: Serve 12,000-25,999",22423.0,Hamtramck,Wayne,The Library Network,Yes,Annual,30/individual,
256,MI0141,Harper Woods Public Library,"Class 4: Serve 12,000-25,999",14236.0,Harper Woods,Wayne,Suburban Library Cooperative,Yes,Annual,$75/Family,
257,MI0142,Harrison District Library,"Class 4: Serve 12,000-25,999",12920.0,Harrison,Clare,Mideastern Michigan Library Cooperative,Yes,Annual,$100/family,No
258,MI0435,Harrison Township Public Library,"Class 4: Serve 12,000-25,999",24587.0,Harrison Township,Macomb,Suburban Library Cooperative,Yes,Annual,200/family,
259,MI0145,Hastings Public Library,"Class 4: Serve 12,000-25,999",13233.0,Hastings,Barry,Lakeland Library Cooperative,Yes,Annual,$100/household,Yes
260,MI0146,Hazel Park Memorial District Library,"Class 4: Serve 12,000-25,999",16422.0,Hazel Park,Oakland,The Library Network,Yes,Annual,$50/individual,
261,MI0152,Highland Township Public Library,"Class 4: Serve 12,000-25,999",19202.0,Highland,Oakland,The Library Network,Yes,Annual,$100/family,
262,MI0153,Holly Township Library,"Class 4: Serve 12,000-25,999",23088.0,Holly,Oakland,Mideastern Michigan Library Cooperative,Yes,Annual,50,Yes
263,MI0158,Houghton Lake Public Library,"Class 4: Serve 12,000-25,999",15322.0,Houghton Lake,Roscommon,White Pine Library Cooperative,No,,,
264,MI0378,Howard Miller Library,"Class 4: Serve 12,000-25,999",22115.0,"Zeeland, MI",Ottawa,Lakeland Library Cooperative,Yes,Annual,50.00/Individual,Yes
265,MI0136,Ionia Community Library,"Class 4: Serve 12,000-25,999",21638.0,Ionia,Ionia,Lakeland Library Cooperative,Yes,Annual,$25/individual,No
266,MI0173,Ishpeming Carnegie Public Library,"Class 4: Serve 12,000-25,999",13600.0,Ishpeming,Marquette,Superiorland Library Cooperative,No,,,Yes
267,MI0181,Kalkaska County Library,"Class 4: Serve 12,000-25,999",17153.0,Kalkaska,Kalkaska,Northland Library Cooperative,No,,,
268,MI0431,Leanna Hicks Public Library of Inkster,"Class 4: Serve 12,000-25,999",25369.0,Inkster,Wayne,The Library Network,Yes,Annual,65/individual,
269,MI0198,Lincoln Township Public Library,"Class 4: Serve 12,000-25,999",22258.0,Stevensville,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,$35 3-mo; $65 6mo; 120 1 year,Yes
270,MI0204,Lyon Township Public Library,"Class 4: Serve 12,000-25,999",14545.0,South Lyon,Oakland,The Library Network,No,,,
271,MI0242,MacDonald Public Library,"Class 4: Serve 12,000-25,999",13452.0,New Baltimore,Macomb,Suburban Library Cooperative,Yes,Annual,"$75-Individual,$200-Cooperative-Individual or Family",No
272,MI0213,Manistee County Library,"Class 4: Serve 12,000-25,999",22995.0,Manistee,Manistee,Mid-Michigan Library League,Yes,Annual,75,
273,MI0218,Marshall District Library,"Class 4: Serve 12,000-25,999",14948.0,Marshall,Calhoun,Woodlands Library Cooperative,Yes,Annual,$100 Household; $50 Senior/Military Household,
274,MI0220,Maud Preston Palenske Memorial Library,"Class 4: Serve 12,000-25,999",18393.0,Saint Joseph,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,100/household ,Yes
275,MI0226,Menominee County Library,"Class 4: Serve 12,000-25,999",14384.0,Stephenson,Menominee,Superiorland Library Cooperative,Yes,Annual,15.00,
276,MI0228,Milan Public Library,"Class 4: Serve 12,000-25,999",17511.0,Milan,Monroe,Woodlands Library Cooperative,Yes,Annual,100/family,Yes
277,MI0229,Milford Public Library,"Class 4: Serve 12,000-25,999",15736.0,Milford,Oakland,The Library Network,Yes,Annual,150,
278,MI0231,Missaukee District Library,"Class 4: Serve 12,000-25,999",13097.0,Lake City,Missaukee,Mid-Michigan Library League,No,,,
279,MI0237,Mount Clemens Public Library,"Class 4: Serve 12,000-25,999",22857.0,Mount Clemens,Macomb,Suburban Library Cooperative,Yes,Annual,200/Family,
280,MI0245,Niles District Library,"Class 4: Serve 12,000-25,999",24520.0,Niles,Berrien,Southwest Michigan Library Cooperative,Yes,Annual,25,Yes
281,MI0253,Ogemaw District Library,"Class 4: Serve 12,000-25,999",12561.0,Rose City,Ogemaw,White Pine Library Cooperative,No,,,Yes
282,MI0258,Otsego County Library,"Class 4: Serve 12,000-25,999",24164.0,Gaylord,Otsego,Northland Library Cooperative,Yes,Annual,75/family;$30 individual,
283,MI0259,Otsego District Public Library,"Class 4: Serve 12,000-25,999",14230.0,Otsego,Allegan,Southwest Michigan Library Cooperative,Yes,Annual,$80/individual,Yes
284,MI0262,Oxford Public Library,"Class 4: Serve 12,000-25,999",20526.0,Oxford,Oakland,The Library Network,No,,,
285,MI0265,Paw Paw District Library,"Class 4: Serve 12,000-25,999",13579.0,Paw Paw,Van Buren,Southwest Michigan Library Cooperative,Yes,Annual,50,
286,MI0269,Petoskey District Library,"Class 4: Serve 12,000-25,999",16709.0,Petoskey,Emmet,Northland Library Cooperative,Yes,Annual,95/family/year or 25/family/quarter,Yes
287,MI0276,Portage Lake District Library,"Class 4: Serve 12,000-25,999",19629.0,Houghton,Houghton,Superiorland Library Cooperative,Yes,Annual,$110/Individual; $155/Family,Yes
288,MI0278,Portland District Library,"Class 4: Serve 12,000-25,999",13912.0,Portland,Ionia,Woodlands Library Cooperative,No,,,Yes
289,MI0279,Presque Isle District Library,"Class 4: Serve 12,000-25,999",14878.0,Rogers City,Presque Isle,Northland Library Cooperative,Yes,Annual,50.00,Yes
290,MI0292,Riverview Veterans Memorial Library,"Class 4: Serve 12,000-25,999",12486.0,Riverview,Wayne,The Library Network,No,,,No
291,MI0315,Salem-South Lyon District Library,"Class 4: Serve 12,000-25,999",16753.0,South Lyon,Washtenaw,The Library Network,Yes,Annual,130,
292,MI0355,Spring Lake District Library,"Class 4: Serve 12,000-25,999",18260.0,Spring Lake,Ottawa,Lakeland Library Cooperative,Yes,Annual,88,Yes
293,MI0319,Springfield Township Library,"Class 4: Serve 12,000-25,999",13940.0,Davisburg,Oakland,The Library Network,Yes,Annual,100.00 /family,
294,MI0326,Sturgis District Library,"Class 4: Serve 12,000-25,999",17937.0,Sturgis,St. Joseph,Southwest Michigan Library Cooperative,Yes,Annual,50/Family,
295,MI0333,Tecumseh District Library,"Class 4: Serve 12,000-25,999",18134.0,Tecumseh,Lenawee,Woodlands Library Cooperative,Yes,Annual,$50 per year,
296,MI0338,Thornapple Kellogg School and Community Library,"Class 4: Serve 12,000-25,999",15497.0,Middleville,Barry,Lakeland Library Cooperative,Yes,Annual,$40/Family,No
297,MI0340,Three Rivers Public Library,"Class 4: Serve 12,000-25,999",14253.0,Three Rivers,St. Joseph,Southwest Michigan Library Cooperative,Yes,Annual,$50 for 1 or 2/ $75 for 3 or more,Yes
298,MI0349,Vicksburg District Library,"Class 4: Serve 12,000-25,999",12238.0,Vicksburg,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,50,Yes
299,MI0403,Wayne Public Library,"Class 4: Serve 12,000-25,999",17593.0,Wayne,Wayne,The Library Network,Yes,Annual,$75/individual,No
300,MI0374,Wixom Public Library,"Class 4: Serve 12,000-25,999",13498.0,Wixom,Oakland,The Library Network,Yes,Annual,125,
301,MI9017,Allen Park Public Library,"Class 5: Serve 26,000-49,999",28210.0,Allen Park,Wayne,The Library Network,No,,,
302,MI0411,Allendale Township Library,"Class 5: Serve 26,000-49,999",28283.0,Allendale,Ottawa,Lakeland Library Cooperative,Yes,Annual,25,Yes
303,MI0414,Alpena County Library,"Class 5: Serve 26,000-49,999",29598.0,Alpena,Alpena,Superiorland Library Cooperative,Yes,Annual,$25/Individual,
304,MI0019,Baldwin Public Library,"Class 5: Serve 26,000-49,999",35350.0,Birmingham,Oakland,The Library Network,No,,,Yes
305,MI0430,Belleville Area District Library,"Class 5: Serve 26,000-49,999",42361.0,Belleville,Wayne,The Library Network,No,,,
306,MI0037,Bloomfield Township Public Library,"Class 5: Serve 26,000-49,999",41070.0,Bloomfield Township,Oakland,The Library Network,No,,,
307,MI0039,Branch District Library,"Class 5: Serve 26,000-49,999",46905.0,Coldwater,Branch,Woodlands Library Cooperative,Yes,Annual,$40/individual,Yes
308,MI0043,Brighton District Library,"Class 5: Serve 26,000-49,999",43254.0,Brighton,Livingston,The Library Network,No,,,
309,MI0049,Cadillac-Wexford County Public Library,"Class 5: Serve 26,000-49,999",35087.0,Cadillac,Wexford,Mid-Michigan Library League,Yes,Annual,25.00,Yes
310,MI0055,Cass District Library,"Class 5: Serve 26,000-49,999",38002.0,Cassopolis,Cass,Southwest Michigan Library Cooperative,Yes,Annual,MI resident $25 per family; non-MI resident $40 per family,
311,MI0416,Chesterfield Township Library,"Class 5: Serve 26,000-49,999",43381.0,Chesterfield,Macomb,Suburban Library Cooperative,Yes,Annual,$50/individual - local; $200/individual - cooperative wide,
312,MI0166,Clarkston Independence District Library,"Class 5: Serve 26,000-49,999",35563.0,Clarkston,Oakland,The Library Network,No,,,
313,MI0426,Commerce Township Community Library,"Class 5: Serve 26,000-49,999",40186.0,Commerce Township,Oakland,The Library Network,No,,,
314,MI0310,Community District Library,"Class 5: Serve 26,000-49,999",28263.0,Corunna,Shiawassee,Mideastern Michigan Library Cooperative,Yes,Annual,55/Family,Yes
315,MI0075,Cromaine District Library,"Class 5: Serve 26,000-49,999",26391.0,Hartland,Livingston,The Library Network,Yes,Annual,$150/household,
316,MI9009,Delta Township District Library,"Class 5: Serve 26,000-49,999",32799.0,Lansing,Eaton,Woodlands Library Cooperative,No,,,
317,MI0085,Dickinson County Library,"Class 5: Serve 26,000-49,999",26168.0,Iron Mountain,Dickinson,Superiorland Library Cooperative,Yes,Annual,$35/Family,
318,MI0093,East Lansing Public Library,"Class 5: Serve 26,000-49,999",48579.0,East Lansing,Ingham,Woodlands Library Cooperative,Yes,Annual,$30 individual/$40 family,
319,MI0092,Eastpointe Memorial Library,"Class 5: Serve 26,000-49,999",32442.0,Eastpointe,Macomb,Suburban Library Cooperative,Yes,Annual,200.00,
320,MI0121,Garden City Public Library,"Class 5: Serve 26,000-49,999",27692.0,Garden City,Wayne,The Library Network,No,,,
321,MI0124,Georgetown Township Public Library,"Class 5: Serve 26,000-49,999",46985.0,Jenison,Ottawa,Lakeland Library Cooperative,Yes,Annual,115,
322,MI0135,Hackley Public Library,"Class 5: Serve 26,000-49,999",40898.0,Muskegon,Muskegon,Lakeland Library Cooperative,Yes,Annual,100/family,
323,MI0171,Iosco-Arenac District Library,"Class 5: Serve 26,000-49,999",41786.0,East Tawas,Iosco,White Pine Library Cooperative,No,,,
324,MI0195,Lenawee District Library,"Class 5: Serve 26,000-49,999",40771.0,Adrian,Lenawee,Woodlands Library Cooperative,Yes,Annual,$30/household,
325,MI9025,Lincoln Park Public Library,"Class 5: Serve 26,000-49,999",38144.0,Lincoln Park,Wayne,The Library Network,No,,,
326,MI0201,Loutit District Library,"Class 5: Serve 26,000-49,999",35540.0,Grand Haven,Ottawa,Lakeland Library Cooperative,Yes,Annual,75/family,
327,MI0210,Madison Heights Public Library,"Class 5: Serve 26,000-49,999",29694.0,Madison Heights,Oakland,The Library Network,Yes,Annual,$100/Individual,
328,MI0401,Mason County District Library,"Class 5: Serve 26,000-49,999",28646.0,Ludington,Mason,Mid-Michigan Library League,Yes,Annual,$20/person or $50/family,
329,MI0248,Northville District Library,"Class 5: Serve 26,000-49,999",34467.0,Northville,Wayne,The Library Network,No,,,
330,MI0251,Oak Park Public Library,"Class 5: Serve 26,000-49,999",29319.0,Oak Park,Oakland,The Library Network,Yes,Annual,100,
331,MI0255,Orion Township Public Library,"Class 5: Serve 26,000-49,999",35394.0,Lake Orion,Oakland,The Library Network,Yes,Annual,200,
332,MI0268,Peter White Public Library,"Class 5: Serve 26,000-49,999",36441.0,Marquette,Marquette,Superiorland Library Cooperative,Yes,Annual,$120 individual/12month; $65/individual/6month; $35/individual/3month or $180/family/12month; $95/family/6month; $50/family/3month,Yes
333,MI0273,Plymouth District Library,"Class 5: Serve 26,000-49,999",36656.0,Plymouth,Wayne,The Library Network,Yes,Annual,150,
334,MI0402,Redford Township District Library,"Class 5: Serve 26,000-49,999",48362.0,Redford,Wayne,The Library Network,Yes,Annual, $125/Household,
335,MI0294,Romeo District Library,"Class 5: Serve 26,000-49,999",33839.0,Romeo,Macomb,Suburban Library Cooperative,Yes,Annual,$200,Yes
336,MI0433,Romulus Public Library,"Class 5: Serve 26,000-49,999",39868.0,Romulus,Wayne,The Library Network,No,,,Yes
337,MI0295,Roseville Public Library,"Class 5: Serve 26,000-49,999",47299.0,Roseville,Macomb,Suburban Library Cooperative,Yes,Annual,$200/SLC,
338,MI0300,Saline District Library,"Class 5: Serve 26,000-49,999",26376.0,Saline,Washtenaw,The Library Network,Yes,Annual,$150 Individual/Family,
339,MI0261,Shiawassee District Library,"Class 5: Serve 26,000-49,999",27920.0,Owosso,Shiawassee,Mideastern Michigan Library Cooperative,Yes,Annual,$82/Family,
340,MI0434,Southgate Veterans Memorial Library,"Class 5: Serve 26,000-49,999",30047.0,Southgate,Wayne,The Library Network,No,,,
341,MI0022,Superior District Library,"Class 5: Serve 26,000-49,999",43031.0,Sault Ste Marie,Chippewa,Superiorland Library Cooperative,Yes,Annual,$80/individual,Yes
342,MI0345,Van Buren District Library,"Class 5: Serve 26,000-49,999",44265.0,Decatur,Van Buren,Southwest Michigan Library Cooperative,Yes,Annual,75/household,Yes
343,MI0366,White Lake Township Library,"Class 5: Serve 26,000-49,999",30019.0,White Lake,Oakland,The Library Network,No,,,
344,MI0012,Ann Arbor District Library,"Class 6: Serve 50,000+",163590.0,Ann Arbor,Washtenaw,Non-member,Yes,Annual,$150/Family,
345,MI0021,Bay County Library System,"Class 6: Serve 50,000+",107681.0,Bay City,Bay,Mideastern Michigan Library Cooperative,Yes,Annual,$50/Individual,No
346,MI0052,Canton Public Library,"Class 6: Serve 50,000+",90173.0,Canton,Wayne,The Library Network,Yes,Annual,140,
347,MI0424,Capital Area District Libraries,"Class 6: Serve 50,000+",238859.0,Lansing,Ingham,Mideastern Michigan Library Cooperative,Yes,Annual,"$50/ind, $75/fam",
348,MI0348,Chippewa River District Library System,"Class 6: Serve 50,000+",51640.0,Mount Pleasant,Isabella,Mideastern Michigan Library Cooperative,Yes,Annual,130/household,
349,MI0397,Clinton-Macomb Public Library,"Class 6: Serve 50,000+",169833.0,Clinton Township,Macomb,Suburban Library Cooperative,Yes,Annual,$200/family/coopwide,
350,MI0425,Dearborn Heights City Libraries,"Class 6: Serve 50,000+",57774.0,Dearborn Heights,Wayne,The Library Network,Yes,Annual,80,
351,MI0078,Dearborn Public Library,"Class 6: Serve 50,000+",98153.0,Dearborn,Wayne,The Library Network,Yes,Annual,$100/family,
352,MI0083,Detroit Public Library,"Class 6: Serve 50,000+",713777.0,Detroit,Wayne,Detroit Library Cooperative,Yes,Annual,$100/individual,
353,MI0105,Farmington Community Library,"Class 6: Serve 50,000+",90112.0,Farmington Hills,Oakland,The Library Network,No,,,
354,MI0111,Flint Public Library,"Class 6: Serve 50,000+",102434.0,Flint,Genesee,Mideastern Michigan Library Cooperative,No,,,
355,MI0123,Genesee District Library,"Class 6: Serve 50,000+",332567.0,Flint,Genesee,Mideastern Michigan Library Cooperative,Yes,Annual,100/family,Yes
356,MI0129,Grace A. Dow Memorial Library,"Class 6: Serve 50,000+",76707.0,Midland,Midland,Mideastern Michigan Library Cooperative,Yes,Annual,$125 family,Yes
357,MI0131,Grand Rapids Public Library,"Class 6: Serve 50,000+",188040.0,Grand Rapids,Kent,Lakeland Library Cooperative,Yes,Annual,60/family/6 mos - $115/family/yr,
358,MI0134,Grosse Pointe Public Library,"Class 6: Serve 50,000+",51133.0,Grosse Pointe Farms,Wayne,The Library Network,Yes,Annual,200.00,
359,MI0150,Herrick District Library,"Class 6: Serve 50,000+",102423.0,Holland,Ottawa,Lakeland Library Cooperative,Yes,Annual,$100,Yes
360,MI0160,Howell Carnegie District Library,"Class 6: Serve 50,000+",52529.0,Howell,Livingston,The Library Network,Yes,Annual,$30 individual $90 family,
